crs-ref,PIQ-COURSE-UID,MDCO-COURSE-UID,MDCO-COURSECAT-UIDxSITE,MDCO-CAMPUSUID
1355,SURG-802.B,MDCO-SURG802.206,MDCO-SURG802.206-vcom.abry.campus,vcom.abry.campus
1337,NEXT-800.R,MDCO-NEXT800.185,MDCO-NEXT800.185-vcom.ardr.campus,vcom.ardr.campus
1341,MPSY-806.R,MDCO-MPSY806.342,MDCO-MPSY806.342-vcom.ardr.campus,vcom.ardr.campus
1351,SURG-800.D,MDCO-SURG800.237,MDCO-SURG800.237-vcom.adll.campus,vcom.adll.campus
1349,OBGY-802.D,MDCO-OBGY802.107,MDCO-OBGY802.107-vcom.adll.campus,vcom.adll.campus
1348,NEXT-800.D,MDCO-NEXT800.185,MDCO-NEXT800.185-vcom.adll.campus,vcom.adll.campus
1350,OBGY-809.AIR,MDCO-OBGY809.321,MDCO-OBGY809.321-vcom.ardr.campus,vcom.ardr.campus
1344,MRAD-801.W,MDCO-MRAD801.276,MDCO-MRAD801.276-vcom.ahwh.campus,vcom.ahwh.campus
1347,MRAD-802.H,MDCO-MRAD802.230,MDCO-MRAD802.230-vcom.ahem.campus,vcom.ahem.campus
1346,SURG-851.AIH,MDCO-SURG851.396,MDCO-SURG851.396-vcom.ahem.campus,vcom.ahem.campus
1336,OBGY-800.R,MDCO-OBGY800.327,MDCO-OBGY800.327-vcom.ardr.campus,vcom.ardr.campus
1345,SURG-802.WMH,MDCO-SURG802.206,MDCO-SURG802.206-vcom.ahwh.elective,vcom.ahwh.elective
1342,MRAD-999,MDCO-MRAD999.199,MDCO-MRAD999.199-vcom.inab.campus,vcom.inab.campus
1340,NEXT-800.H,MDCO-NEXT800.185,MDCO-NEXT800.185-vcom.ahem.campus,vcom.ahem.campus
1343,SURG-801.R,MDCO-SURG801.218,MDCO-SURG801.218-vcom.ardr.campus,vcom.ardr.campus
1338,OBGY-800.B,MDCO-OBGY800.327,MDCO-OBGY800.327-vcom.abry.campus,vcom.abry.campus
1339,MRAD-816.R,MDCO-MRAD816.317,MDCO-MRAD816.317-vcom.ardr.campus,vcom.ardr.campus
1335,MPED-800.B,MDCO-MPED800.112,MDCO-MPED800.112-vcom.abry.campus,vcom.abry.campus
1333,MPED-985,MDCO-MPED985.189,MDCO-MPED985.189-vcom.inab.campus,vcom.inab.campus
1334,MRAD-801.H,MDCO-MRAD801.276,MDCO-MRAD801.276-vcom.ahem.campus,vcom.ahem.campus
1332,MRAD-800.R,MDCO-MRAD800.367,MDCO-MRAD800.367-vcom.ardr.campus,vcom.ardr.campus
1331,MFCM-800.D,MDCO-MFCM800.140,MDCO-MFCM800.140-vcom.adll.campus,vcom.adll.campus
1330,MFCM-800.H,MDCO-MFCM800.140,MDCO-MFCM800.140-vcom.ahem.campus,vcom.ahem.campus
1328,MPAT-805.B,MDCO-MPAT805.295,MDCO-MPAT805.295-vcom.abry.campus,vcom.abry.campus
1327,MFCM-806.AIB,MDCO-MFCM806.286,MDCO-MFCM806.286-vcom.abry.campus,vcom.abry.campus
1329,MFCM-999,MDCO-MFCM999.205,MDCO-MFCM999.205-vcom.inab.campus,vcom.inab.campus
1326,MHUM-989,MDCO-MHUM989.1.376,MDCO-MHUM989.1.376-vcom.inab.campus,vcom.inab.campus
1325,MRAD-801.B,MDCO-MRAD801.276,MDCO-MRAD801.276-vcom.abry.campus,vcom.abry.campus
1323,MRAD-801.DRES,MDCO-MRAD801.276,MDCO-MRAD801.276-vcom.adll.residencybound,vcom.adll.residencybound
1324,MPED-800.W,MDCO-MPED800.112,MDCO-MPED800.112-vcom.ahwh.campus,vcom.ahwh.campus
1322,MRAD-816.D,MDCO-MRAD816.317,MDCO-MRAD816.317-vcom.adll.campus,vcom.adll.campus
1320,MPED-840.RURAL,MDCO-MPED840.144,MDCO-MPED840.144-vcom.inab.campus,vcom.inab.campus
1321,MRAD-802.R,MDCO-MRAD802.230,N/A,N/A
1319,MPED-837.R,MDCO-MPED837.250,MDCO-MPED837.250-vcom.ardr.campus,vcom.ardr.campus
1314,MPED-805.R,MDCO-MPED805.270,MDCO-MPED805.270-vcom.ardr.campus,vcom.ardr.campus
1298,MEID-818,MDCO-MEID818.359,N/A,N/A
1318,MPED-800.D,MDCO-MPED800.112,MDCO-MPED800.112-vcom.adll.campus,vcom.adll.campus
1317,MFCM-831.B,MDCO-MFCM831.123,MDCO-MFCM831.123-vcom.abry.campus,vcom.abry.campus
1316,MPED-802.CCC,MDCO-MPED802.310,MDCO-MPED802.310-vcom.adri.campus,vcom.adri.campus
1315,MRAD-800.H,MDCO-MRAD800.367,MDCO-MRAD800.367-vcom.ahem.campus,vcom.ahem.campus
1313,MPED-800.H,MDCO-MPED800.112,MDCO-MPED800.112-vcom.ahem.campus,vcom.ahem.campus
1310,MHUM-810,MDCO-MHUM810.370,MDCO-MHUM810.370-vcom.inab.campus,vcom.inab.campus
1307,MEID-837,MDCO-MEID837.101,MDCO-MEID837.101-vcom.inab.campus,vcom.inab.campus
1308,MFCM-837,MDCO-MFCM837.364,MDCO-MFCM837.364-vcom.rural.brownwood,vcom.rural.brownwood
1312,MPAT-801.B,MDCO-MPAT801.121,MDCO-MPAT801.121-vcom.abry.campus,vcom.abry.campus
1311,MPED-801.R,MDCO-MPED801.223,MDCO-MPED801.223-vcom.ardr.campus,vcom.ardr.campus
1309,MHUM-804,MDCO-MHUM804.168,MDCO-MHUM804.168-vcom.inab.campus,vcom.inab.campus
1305,MFCM-806.AID,MDCO-MFCM806.286,MDCO-MFCM806.286-vcom.adll.campus,vcom.adll.campus
1306,MHUM-819,MDCO-MHUM819.176,MDCO-MHUM819.176-vcom.inab.campus,vcom.inab.campus
1304,MHUM-827,MDCO-MHUM827.290,N/A,N/A
1303,MEID-999,MDCO-MEID999.178,MDCO-MEID999.178-vcom.inab.campus,vcom.inab.campus
1301,MEID-985,MDCO-MEID985.236,MDCO-MEID985.236-vcom.inab.campus,vcom.inab.campus
1302,MPED-806.CCC,MDCO-MPED806.110,MDCO-MPED806.110-vcom.adri.campus,vcom.adri.campus
1299,MHUM-821.R,MDCO-MHUM821.366,N/A,N/A
1295,MFCM-806.AIW,MDCO-MFCM806.286,MDCO-MFCM806.286-vcom.ahwh.campus,vcom.ahwh.campus
1292,MPAT-801.D,MDCO-MPAT801.121,MDCO-MPAT801.121-vcom.adll.campus,vcom.adll.campus
1297,MEID-989.SB2-BCS,MDCO-MEID989.4.373,MDCO-MEID989.4.373-vcom.abry.campus,vcom.abry.campus
1296,MEID-810,MDCO-MEID810.272,MDCO-MEID810.272-vcom.inab.campus,vcom.inab.campus
1290,MFCM-839.R,MDCO-MFCM839.295,MDCO-MFCM839.295-vcom.ardr.campus,vcom.ardr.campus
1288,MEID 706,MDCO-MEID706.312,N/A,N/A
1291,MFCM-806.AIC,MDCO-MFCM806.286,N/A,N/A
1289,MFCM-989.RR,MDCO-MFCM839.295,MDCO-MFCM839.295-vcom.ardr.campus,vcom.ardr.campus
1294,MEID-989.SB1-BCS,MDCO-MEID989.2.377,MDCO-MEID989.2.377-vcom.abry.campus,vcom.abry.campus
1293,MEID-989.D,MDCO-MEID840.508,N/A,N/A
1287,IMED-863.H,MDCO-IMED863.274,MDCO-IMED863.274-vcom.ahem.campus,vcom.ahem.campus
1286,MEID-822.ENMED,MDCO-MEID822.363,MDCO-MEID822.363-vcom.ahem.campus,vcom.ahem.campus
1283,MEID 713,MDCO-MEID713.242,N/A,N/A
1285,MEID 713 31E,MDCO-MEID713.242,N/A,N/A
1284,MEID 712 ENMED,MDCO-MEID712.356,N/A,N/A
1281,MEID 707,MDCO-MEID707.137,N/A,N/A
1282,IMED-934.D,MDCO-IMED934.369,MDCO-IMED934.369-vcom.adll.campus,vcom.adll.campus
1280,MEID-835.H,MDCO-MEID835.158,MDCO-MEID835.158-vcom.ahem.campus,vcom.ahem.campus
1278,IMED-999,MDCO-IMED999.194,MDCO-IMED999.194-vcom.inab.campus,vcom.inab.campus
1279,MEID-805,MDCO-MEID805.371,MDCO-MEID805.371-vcom.inab.campus,vcom.inab.campus
1276,MEID 606 ENMED,MDCO-MEID606.145,N/A,N/A
1274,MEID 711,MDCO-MEID711.147,N/A,N/A
1275,MEID 616 ENMED,MDCO-MEID616.258,N/A,N/A
1273,IMED-912.H,MDCO-IMED912.164,MDCO-IMED912.164-vcom.ahem.campus,vcom.ahem.campus
1272,MEID-000,MDCO-MEID100.116,MDCO-MEID100.116-vcom.inab.campus,vcom.inab.campus
1271,IMED-974,MDCO-IMED974.277,MDCO-IMED974.277-vcom.inab.campus,vcom.ahwh.campus
1259,MEID 616,MDCO-MEID616.258,N/A,N/A
1270,IMED-913.H,MDCO-IMED913.337,MDCO-IMED913.337-vcom.ahem.campus,vcom.ahem.campus
1267,IMED-972.BAMC,MDCO-IMED972.381,N/A,N/A
1269,MEID 607 ENMED,MDCO-MEID607.181,N/A,N/A
1268,MEID 607,MDCO-MEID607.181,N/A,N/A
1265,ITDE-642.H,MDCO-ITDE642.293,MDCO-ITDE642.293-vcom.ahem.campus,vcom.ahem.campus
1262,ITDE-641.H,MDCO-ITDE641.285,MDCO-ITDE641.285-vcom.ahem.campus,vcom.ahem.campus
1266,MEID 708,MDCO-MEID708.167,N/A,N/A
1263,MEID 706 ENMED,MDCO-MEID706.312,N/A,N/A
1264,MEID 704 ENMED,MDCO-MEID704.113,N/A,N/A
1261,IMED-941.H,MDCO-IMED941.133,MDCO-IMED941.133-vcom.ahem.campus,vcom.ahem.campus
1260,MEID 609,MDCO-MEID609.163,N/A,N/A
1257,IMED-830.B,MDCO-IMED830.368,MDCO-IMED830.368-vcom.abry.campus,vcom.abry.campus
